date,cases,deaths,recovered,new_cases,new_deaths,new_recovered,active,case_fatality_rate
2023-02-15,671944239,6777722,,168239,1145,,,1008.673281
2021-01-06,87548743,1968990,,659604,11536,,,2249.021439
2021-05-15,162719261,3508622,,679683,12662,,,2156.242585
2021-12-04,265712398,5279830,,620743,7758,,,1987.046912
2022-02-02,385510337,5732235,,3185018,10152,,,1486.921218
2020-05-02,3445655,265039,1089963,77945,5953,39367,2090653,7691.977287
2021-03-30,128667504,2921533,,574612,10417,,,2270.606726
2022-01-19,339592196,5600227,,3104000,7486,,,1649.103562
2020-11-04,48194167,1297000,31816770,520012,7558,250102,15080397,2691.197049
2021-07-11,187361235,4062875,,439956,7987,,,2168.471509
2022-08-13,589467746,6454446,,824294,2425,,,1094.961691
2020-02-26,80679,2770,30370,805,92,2033,47539,3433.359362
2020-08-10,20112588,788436,12281677,262938,6381,195531,7042475,3920.112121
2020-09-28,33420643,1067701,23187137,291684,5401,239491,9165805,3194.735062
2021-08-26,215224747,4502496,,660990,10174,,,2091.997348
2022-07-21,567459484,6399936,,1073257,2138,,,1127.822546
2021-07-31,198378400,4246362,,590715,9212,,,2140.53647
2022-03-23,476493517,6139651,,1722325,6730,,,1288.506723
2022-06-08,533620620,6328340,,477521,1456,,,1185.924937
2020-09-05,26931656,941477,17922721,269857,5513,217122,8067458,3495.80063
2022-01-16,328966570,5574681,,2975870,7406,,,1694.604105
2022-02-28,437446479,5986003,,1566846,8680,,,1368.396658
2022-07-01,548260368,6361879,,768535,1419,,,1160.375502
2021-08-20,211383014,4441800,,657011,9923,,,2101.304128
2022-02-08,400965299,5794775,,2662794,10631,,,1445.20611
2020-03-20,271784,11779,86984,17990,899,2438,173021,4333.956377
2021-09-12,225245861,4658484,,558666,8952,,,2068.177404
2020-08-16,21709116,826154,13675728,261382,6150,222572,7207234,3805.562603
2021-04-22,145210279,3201708,,810451,12748,,,2204.87697
2021-12-27,282019505,5439352,,877301,6559,,,1928.714824
2022-09-02,603957830,6501442,,609094,2179,,,1076.472839
2022-04-12,501183578,6217402,,988799,3249,,,1240.543839
2022-05-19,523894184,6299036,,561389,1585,,,1202.348908
2020-04-09,1564367,109169,352960,77438,7029,20511,1102238,6978.477557
2020-02-06,30806,636,1493,3224,66,192,28677,2064.532883
2022-12-17,651346151,6666502,,580522,1862,,,1023.49603
2023-01-23,667475299,6742538,,261913,2184,,,1010.155433
2020-05-22,5219111,367000,2046876,96507,4679,60123,2805235,7031.848911
2021-01-26,100599722,2251243,,585817,14849,,,2237.822287
2020-10-12,37865617,1148288,26315956,331415,5362,218697,10401373,3032.534766
2020-10-18,40086569,1181908,27531469,358702,5391,202318,11373192,2948.389023
2021-03-10,118504540,2726832,,410607,9016,,,2301.035893
2021-11-14,254004829,5130015,,490347,7249,,,2019.652548
2020-02-12,45057,1120,5150,2486,79,572,38787,2485.740285
2021-08-06,202252076,4304243,,627283,9529,,,2128.157636
2023-01-29,668818035,6753281,,216239,1755,,,1009.733686
2020-11-24,59903741,1484179,,595093,10362,,,2477.606532
2021-10-22,243624673,4968123,,420721,6975,,,2039.252814
2022-09-19,611926537,6529065,,468727,1675,,,1066.968763
2021-04-19,142582126,3158740,,777282,12533,,,2215.382873
2022-11-27,640393145,6631947,,426773,1407,,,1035.605558
2023-02-12,671382215,6774199,,169407,1257,,,1008.992918
2021-03-27,127153673,2893684,,553412,10445,,,2275.737642
2020-12-17,75118880,1741171,,649871,11672,,,2317.887327
2021-06-04,173083073,3741007,,444452,10836,,,2161.393911
2022-10-12,622596496,6564071,,476912,1466,,,1054.305805
2021-01-09,90010221,2012553,,724419,13109,,,2235.916074
2021-05-12,160681897,3469874,,737080,13176,,,2159.467908
2022-11-04,631756961,6601276,,334005,1592,,,1044.907521
2023-03-07,674689414,6796827,,127485,908,,,1007.400866
2020-11-07,50035814,1322682,32668782,555225,8132,267039,16044350,2643.470535
2021-07-14,188859008,4087990,,469112,8155,,,2164.57242
2022-06-11,535025831,6332519,,488673,1498,,,1183.591265
2020-07-24,15790439,685687,9048364,248118,6000,168822,6056388,4342.418852
2021-10-28,246179946,5011362,,435434,7340,,,2035.649971
2022-09-25,614632005,6538320,,444248,1513,,,1063.777992
2021-05-29,170452282,3675954,,509607,11507,,,2156.588317
2021-01-03,85459626,1928701,,632052,11489,,,2256.856355
2022-03-17,466513872,6099543,,1812838,5711,,,1307.473018
